t_ms,PWM,Presion_kPa,,,
9730,106,36.038,,,
9740,107,35.919,,,
9750,107,35.888,,,
9760,107,35.894,,,
9770,107,36.038,,,
9780,107,36.019,,,
9790,107,35.969,,,
9800,107,35.994,,,
9810,106,36.081,,,
9820,106,36.169,,,
9830,106,36.025,,,
9840,106,36.044,,,
9850,106,36.013,,,
9860,106,36.113,,,
9870,106,36.044,,,
9880,106,35.956,,,
9890,107,35.956,,,
9900,106,36.05,,,
9910,106,36.125,,,
9920,106,35.981,,,
9930,106,35.975,,,
9940,107,35.919,,,
9950,106,36,,,
9960,106,35.988,,,
9970,107,35.938,,,
9980,107,35.831,,,
9990,107,35.925,,,
10000,107,36.025,,,
10010,106,36.056,,,
10020,107,35.931,,,
10030,107,35.919,,,
10040,106,36.181,,,
10050,107,35.925,,,
10060,107,35.956,,,
10070,107,36.019,,,
10080,106,36.069,,,
10090,107,35.994,,,
10100,107,35.963,,,
10110,106,36.063,,,
10120,106,36.119,,,
10130,106,36.069,,,
10140,106,35.988,,,
10150,106,36.025,,,
10160,106,36.069,,,
10170,106,36.081,,,
10180,106,36,,,
10190,106,35.969,,,
10200,106,36.038,,,
10210,106,36.056,,,
10220,106,36.075,,,
10230,106,35.944,,,
10240,106,35.925,,,
10250,106,35.938,,,
10260,106,35.994,,,
10270,107,35.944,,,
10280,107,35.881,,,
10290,107,35.819,,,
10300,107,35.9,,,
10310,106,36.044,,,
10320,107,35.969,,,
10330,107,35.925,,,
10340,107,35.9,,,
10350,107,36.069,,,
10360,106,36.088,,,
10370,107,35.963,,,
10380,106,36.256,,,
10390,106,36.106,,,
10400,106,36.069,,,
10410,106,36.05,,,
10420,106,36.169,,,
10430,106,36.094,,,
10440,106,36.044,,,
10450,106,35.913,,,
10460,106,36.044,,,
10470,106,36.113,,,
10480,106,36.063,,,
10490,106,35.944,,,
10500,106,35.938,,,
10510,106,36.013,,,
10520,106,36.019,,,
10530,106,36.013,,,
10540,107,35.869,,,
10550,107,35.881,,,
10560,107,35.9,,,
10570,106,35.994,,,
10580,107,35.931,,,
10590,107,35.894,,,
10600,106,36,,,
10610,106,36.056,,,
10620,106,36.05,,,
10630,107,35.956,,,
10640,107,35.963,,,
10650,107,35.975,,,
10660,106,36.05,,,
10670,106,36.05,,,
10680,106,35.969,,,
10690,107,35.963,,,
10700,106,36.069,,,
10710,106,36.175,,,
10720,106,35.981,,,
10730,106,36.113,,,
10740,106,36.05,,,
10750,106,36.025,,,
10760,106,35.944,,,
10770,106,36.075,,,
10780,106,36.131,,,
10790,106,36.038,,,
10800,106,35.969,,,
10810,106,35.963,,,
10820,106,36.038,,,
10830,106,35.988,,,
10840,106,35.981,,,
10850,107,35.825,,,
10860,107,35.875,,,
10870,107,35.925,,,
10880,106,36,,,
10890,106,35.969,,,
10900,107,35.869,,,
10910,107,35.95,,,
10920,107,35.975,,,
10930,106,36,,,
10940,107,35.919,,,
10950,107,35.875,,,
10960,107,35.969,,,
10970,107,36.038,,,
10980,107,36.019,,,
10990,107,36,,,
11000,106,36.075,,,
11010,106,36.125,,,
11020,106,36.125,,,
11030,106,35.994,,,
11040,106,36.019,,,
11050,106,36.188,,,
11060,106,35.931,,,
11070,106,35.944,,,
11080,106,36.044,,,
11090,106,36.1,,,
11100,106,36.019,,,
11110,106,35.956,,,
11120,107,35.9,,,
11130,106,36.025,,,
11140,106,35.944,,,
11150,107,35.931,,,
11160,107,35.838,,,
11170,107,35.906,,,
11180,107,35.956,,,
11190,106,36.075,,,
11200,107,35.963,,,
11210,107,35.906,,,
11220,107,36,,,
11230,107,36.038,,,
11240,106,36.044,,,
11250,107,35.963,,,
11260,107,35.981,,,
11270,107,36.025,,,
11280,106,36.106,,,
11290,106,36.013,,,
11300,107,35.975,,,
11310,106,36.05,,,
11320,106,36.125,,,
11330,106,36.094,,,
11340,106,36.006,,,
11350,106,36.019,,,
11360,106,36.05,,,
11370,106,36.144,,,
11380,106,36.038,,,
11390,106,36.106,,,
11400,106,36.113,,,
11410,106,35.988,,,
11420,106,35.938,,,
11430,106,35.881,,,
11440,106,36.019,,,
11450,106,35.981,,,
11460,106,35.95,,,
11470,107,35.831,,,
11480,107,35.9,,,
11490,106,36.006,,,
11500,106,35.994,,,
11510,107,35.931,,,
11520,107,35.869,,,
11530,107,35.963,,,
11540,107,35.975,,,
11550,107,35.975,,,
11560,107,35.888,,,
11570,107,35.938,,,
11580,107,36.044,,,
11590,106,36.131,,,
11600,106,36.038,,,
11610,107,35.981,,,
11620,106,36.094,,,
11630,106,36.113,,,
11640,106,36.069,,,
11650,106,35.975,,,
11660,106,36.031,,,
11670,106,36.075,,,
11680,106,36.15,,,
11690,106,36.013,,,
11700,106,35.938,,,
11710,106,36.006,,,
11720,106,36.163,,,
11730,106,35.906,,,
11740,107,35.906,,,
11750,106,35.994,,,
11760,106,35.975,,,
11770,107,35.881,,,
11780,107,35.831,,,
11790,107,35.938,,,
11800,106,36.038,,,
11810,106,36,,,
11820,107,35.944,,,
11830,107,35.881,,,
11840,107,36.013,,,
11850,107,36.006,,,
